CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250506,CeAl3,Ce1,12,0,12,21.3747,0.0,30,20,1.3342,0.9447,9.9475,0.4654
250507,LaAl3,Al1,10,2,8,22.144,0.0,12,8,1.3501,0.9615,10.3089,0.2328
250507,LaAl3,La1,12,0,12,22.1457,0.0,30,20,1.3502,0.9616,10.3095,0.4655
250508,ErAl3,Al1,12,4,8,64.0165,0.0,30,20,2.2405,2.1255,47.1093,0.7359
250508,ErAl3,Er1,12,0,12,64.0165,0.0,12,8,2.2405,2.1255,47.1093,0.6046
250525,TiNi3,Ni1,16,4,12,39.083,0.1965,33,22,1.8986,1.8031,28.6691,0.7335
250525,TiNi3,Ni2,16,4,12,39.0832,0.0,30,20,1.8987,1.8031,28.6706,0.7336
250525,TiNi3,Ti1,18,0,18,39.0834,0.0,30,20,1.8986,1.8031,28.6699,0.7336
250525,TiNi3,Ti2,18,0,18,39.083,0.0,48,32,1.8987,1.8031,28.6703,0.7336
250527,LaPb3,La1,12,0,12,100.5225,0.0,30,20,2.6041,2.4705,73.9738,0.7359
250527,LaPb3,Pb1,12,4,8,100.5225,0.0,30,20,2.6041,2.4705,73.9738,0.7359
250530,NbNi3,Nb1,12,0,12,40.837,0.0533,30,20,1.8911,1.7963,28.3273,0.6937
250530,NbNi3,Ni1,12,4,8,40.837,0.0533,30,20,1.8911,1.7963,28.3273,0.6937
250530,NbNi3,Ni2,12,4,8,40.837,0.0533,30,20,1.8911,1.7963,28.3273,0.6937
250554,Y0.25Ce0.75,Ce1,12,6,6,34.4593,0.0,12,8,1.5704,1.0595,16.2224,0.4708
250554,Y0.25Ce0.75,Ce2,12,6,6,45.9457,0.0,12,8,1.7219,1.8351,21.3867,0.266
250554,Y0.25Ce0.75,Y1,12,6,6,34.4593,0.0,12,8,1.5704,1.0595,16.2224,0.2492
250554,Y0.25Ce0.75,Y2,12,6,6,45.9457,0.0,12,8,1.7219,1.8351,21.3867,0.4655
250561,WIr3,Ir1,10,2,8,14.3548,0.0,12,8,1.1723,0.7932,6.7488,0.4701
250561,WIr3,W1,12,0,12,14.356,0.0,30,20,1.1723,0.7933,6.7492,0.4701
250562,WRh3,Rh1,10,2,8,14.0023,0.0,12,8,1.1626,0.787,6.5817,0.47
250562,WRh3,W1,12,0,12,14.0034,0.0,30,20,1.1626,0.7871,6.582,0.47
250563,MoIr3,Ir1,10,2,8,14.2915,0.0,12,8,1.1706,0.792,6.7196,0.4702
250563,MoIr3,Mo1,12,0,12,14.2927,0.0,30,20,1.1706,0.792,6.72,0.4702
250564,MoRh3,Mo1,12,0,12,14.0188,0.0,30,20,1.163,0.7875,6.5887,0.47
250564,MoRh3,Rh1,10,2,8,14.0177,0.0,12,8,1.163,0.7875,6.5883,0.47
250628,Nb0.75Co2.25,Co1,18,6,12,43.069,0.0228,30,20,1.9593,2.0235,31.5046,0.7315
250628,Nb0.75Co2.25,Co2,18,6,12,43.0798,0.0,30,20,1.9352,2.0524,30.3568,0.7047
250628,Nb0.75Co2.25,Co3,18,6,12,43.1971,0.0028,30,20,1.9294,2.0504,30.0853,0.6965
250628,Nb0.75Co2.25,Co4,12,0,12,36.1593,0.007,30,20,1.6476,1.4537,18.7346,0.4341
250628,Nb0.75Co2.25,Co5,12,0,12,35.9548,0.0033,30,20,1.6459,1.4506,18.6757,0.4345
250628,Nb0.75Co2.25,Nb1,12,0,12,36.1593,0.007,30,20,1.6476,1.4537,18.7345,0.3295
250628,Nb0.75Co2.25,Nb2,12,0,12,35.9548,0.0033,30,20,1.6459,1.4506,18.6757,0.3321
250646,TmPt3,Pt1,12,4,8,55.1128,0.0,30,20,2.1314,2.022,40.5571,0.7359
250646,TmPt3,Tm1,12,0,12,55.1128,0.0,12,8,2.1314,2.022,40.5571,0.6046
250647,YbPt3,Pt1,12,4,8,54.6236,0.0,30,20,2.125,2.016,40.1971,0.7359
250647,YbPt3,Yb1,12,0,12,54.6236,0.0,12,8,2.125,2.016,40.1971,0.6046
250648,LuPt3,Lu1,12,0,12,54.5424,0.0,12,8,2.124,2.015,40.1373,0.6046
250648,LuPt3,Pt1,12,4,8,54.5424,0.0,30,20,2.124,2.015,40.1373,0.7359
250649,ScPt3,Pt1,12,4,8,51.5144,0.0,30,20,2.0839,1.977,37.9091,0.7359
250649,ScPt3,Sc1,12,0,12,51.5144,0.0,12,8,2.0839,1.977,37.9091,0.6046
250650,CePd3,Ce1,12,0,12,58.6189,0.0,12,8,2.1756,2.064,43.1372,0.6046
250650,CePd3,Pd1,12,4,8,58.6189,0.0,30,20,2.1756,2.064,43.1372,0.7359
250651,GdPd3,Gd1,12,0,12,57.1405,0.0,12,8,2.1572,2.0465,42.0493,0.6046
250651,GdPd3,Pd1,12,4,8,57.1405,0.0,30,20,2.1572,2.0465,42.0493,0.7359
250652,Pd3Sn,Pd1,12,8,4,52.3396,0.0,30,20,2.095,1.9875,38.5163,0.7359
250652,Pd3Sn,Sn1,12,12,0,52.3396,0.0,12,8,2.095,1.9875,38.5163,0.6046
250653,YbPd3,Pd1,12,4,8,54.6642,0.0,30,20,2.1256,2.0165,40.227,0.7359
250653,YbPd3,Yb1,12,0,12,54.6642,0.0,12,8,2.1256,2.0165,40.227,0.6046
250654,YbIn3,In1,12,4,8,81.803,0.0,30,20,2.4313,2.3065,60.1982,0.7359
250654,YbIn3,Yb1,12,0,12,81.803,0.0,12,8,2.4313,2.3065,60.1982,0.6046
250668,La3Co,Co1,11,9,2,80.1847,0.6489,27,18,2.1979,2.1193,44.4772,0.3111
250668,La3Co,La1,13,10,3,115.4386,0.2631,33,22,2.0862,2.4771,38.0321,0.2019
250668,La3Co,La2,15,12,3,139.5234,0.1289,39,26,2.7122,2.7107,83.5696,0.599
250679,EuPb3,Eu1,12,0,12,98.944,0.0,30,20,2.5904,2.4575,72.8122,0.7359
250679,EuPb3,Pb1,12,4,8,98.944,0.0,30,20,2.5904,2.4575,72.8122,0.7359
250693,CePd3,Ce1,12,0,12,57.9399,0.0,12,8,2.1672,2.056,42.6376,0.6046
250693,CePd3,Pd1,12,4,8,57.9399,0.0,30,20,2.1672,2.056,42.6376,0.7359
250717,TbAl3,Al1,12,4,8,64.762,0.1761,30,20,2.0713,1.963,37.2239,0.5748
250717,TbAl3,Al2,12,4,8,64.4033,0.0,30,20,2.195,2.1576,44.3008,0.6879
250717,TbAl3,Tb1,12,0,12,66.0643,0.0884,30,20,2.2035,2.0933,44.8174,0.6784
250717,TbAl3,Tb2,12,0,12,66.5663,0.0001,30,20,2.2384,2.1597,46.98,0.7058
250718,GdAl3,Al1,10,2,8,19.9595,0.0,12,8,1.3042,0.9138,9.2932,0.293
250718,GdAl3,Gd1,12,0,12,19.9607,0.0,30,20,1.3043,0.9138,9.294,0.4656
250733,Ta0.25Ni0.75,Ta1,17,9,8,28.5519,0.3711,21,14,1.2193,1.2941,7.5937,0.266
250735,NbNi3,Nb1,12,0,12,40.4092,0.0493,30,20,1.8835,1.8229,27.9896,0.6926
250735,NbNi3,Ni1,12,4,8,40.4092,0.0493,30,20,1.8835,1.8229,27.9896,0.6926
250735,NbNi3,Ni2,12,4,8,40.4092,0.0493,30,20,1.8835,1.8229,27.9898,0.6927
250737,TaNi3,Ni1,12,4,8,40.8707,0.0494,30,20,1.89,1.8299,28.2809,0.692
250737,TaNi3,Ni2,12,4,8,40.8707,0.0494,30,20,1.89,1.8299,28.2809,0.692
250737,TaNi3,Ta1,12,0,12,40.8707,0.0494,30,20,1.89,1.8299,28.2807,0.692
