CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250339,YbPd3,Pd1,12,4,8,54.9412,0.0,30,20,2.1292,2.0199,40.4309,0.7359
250339,YbPd3,Yb1,12,0,12,54.9412,0.0,12,8,2.1292,2.0199,40.4309,0.6046
250340,LuPd3,Lu1,12,0,12,54.7782,0.0,12,8,2.127,2.0179,40.3109,0.6046
250340,LuPd3,Pd1,12,4,8,54.7782,0.0,30,20,2.127,2.0179,40.3109,0.7359
250363,LaSn3,La1,12,0,12,90.4086,0.0,12,8,2.5137,2.3847,66.5311,0.6046
250363,LaSn3,Sn1,12,4,8,90.4086,0.0,30,20,2.5137,2.3847,66.5311,0.7359
250364,CeSn3,Ce1,12,0,12,87.7064,0.0,12,8,2.4884,2.3607,64.5425,0.6046
250364,CeSn3,Sn1,12,4,8,87.7064,0.0,30,20,2.4884,2.3607,64.5425,0.7359
250365,PrSn3,Pr1,12,0,12,87.4002,0.0,12,8,2.4855,2.358,64.3172,0.6046
250365,PrSn3,Sn1,12,4,8,87.4002,0.0,30,20,2.4855,2.358,64.3172,0.7359
250366,NdSn3,Nd1,12,0,12,86.8509,0.0,12,8,2.4803,2.353,63.913,0.6046
250366,NdSn3,Sn1,12,4,8,86.8509,0.0,30,20,2.4803,2.353,63.913,0.7359
250367,SmSn3,Sm1,12,0,12,85.7813,0.0,12,8,2.47,2.3433,63.1258,0.6046
250367,SmSn3,Sn1,12,4,8,85.7813,0.0,30,20,2.47,2.3433,63.1258,0.7359
250368,EuSn3,Eu1,12,0,12,89.0,0.0,12,8,2.5006,2.3723,65.4945,0.6046
250368,EuSn3,Sn1,12,4,8,89.0,0.0,30,20,2.5006,2.3723,65.4945,0.7359
250369,GdSn3,Gd1,12,0,12,85.2825,0.0,12,8,2.4653,2.3388,62.7588,0.6046
250369,GdSn3,Sn1,12,4,8,85.2825,0.0,30,20,2.4653,2.3388,62.7588,0.7359
250370,YbSn3,Sn1,12,4,8,85.496,0.0,30,20,2.4673,2.3407,62.9159,0.7359
250370,YbSn3,Yb1,12,0,12,85.496,0.0,12,8,2.4673,2.3407,62.9159,0.6046
250372,YIn3,In1,12,4,8,80.77,0.0,30,20,2.421,2.2968,59.438,0.7359
250372,YIn3,Y1,12,0,12,80.77,0.0,30,20,2.421,2.2968,59.438,0.7359
250373,LaIn3,In1,12,4,8,88.4384,0.0,30,20,2.4953,2.3672,65.0812,0.7359
250373,LaIn3,La1,12,0,12,88.4384,0.0,12,8,2.4953,2.3672,65.0812,0.6046
250374,CeIn3,Ce1,12,0,12,85.9296,0.0,30,20,2.4715,2.3446,63.235,0.7359
250374,CeIn3,In1,12,4,8,85.9296,0.0,30,20,2.4715,2.3446,63.235,0.7359
250375,PrIn3,In1,12,4,8,84.9602,0.0,30,20,2.4622,2.3358,62.5216,0.7359
250375,PrIn3,Pr1,12,0,12,84.9602,0.0,30,20,2.4622,2.3358,62.5216,0.7359
250376,NdIn3,In1,12,4,8,84.0794,0.0,30,20,2.4536,2.3277,61.8735,0.7359
250376,NdIn3,Nd1,12,0,12,84.0794,0.0,30,20,2.4536,2.3277,61.8735,0.7359
250377,SmIn3,In1,12,4,8,82.4912,0.0,30,20,2.4381,2.313,60.7047,0.7359
250377,SmIn3,Sm1,12,0,12,82.4912,0.0,30,20,2.4381,2.313,60.7047,0.7359
250378,GdIn3,Gd1,12,0,12,81.463,0.0,12,8,2.4279,2.3033,59.948,0.6046
250378,GdIn3,In1,12,4,8,81.463,0.0,30,20,2.4279,2.3033,59.948,0.7359
250379,TbIn3,In1,12,4,8,80.5697,0.0,30,20,2.419,2.2948,59.2907,0.7359
250379,TbIn3,Tb1,12,0,12,80.5697,0.0,30,20,2.419,2.2948,59.2907,0.7359
250380,DyIn3,Dy1,12,0,12,80.0127,0.0,30,20,2.4134,2.2896,58.8808,0.7359
250380,DyIn3,In1,12,4,8,80.0127,0.0,30,20,2.4134,2.2896,58.8808,0.7359
250381,HoIn3,Ho1,12,0,12,79.7039,0.0,30,20,2.4103,2.2866,58.6535,0.7359
250381,HoIn3,In1,12,4,8,79.7039,0.0,30,20,2.4103,2.2866,58.6535,0.7359
250382,ErIn3,Er1,12,0,12,79.2446,0.0,30,20,2.4056,2.2822,58.3156,0.7359
250382,ErIn3,In1,12,4,8,79.2446,0.0,30,20,2.4056,2.2822,58.3156,0.7359
250383,TmIn3,In1,12,4,8,78.9325,0.0,30,20,2.4025,2.2792,58.0859,0.7359
250383,TmIn3,Tm1,12,0,12,78.9325,0.0,30,20,2.4025,2.2792,58.0859,0.7359
250384,YbIn3,In1,12,4,8,81.8881,0.0,30,20,2.4321,2.3073,60.2609,0.7359
250384,YbIn3,Yb1,12,0,12,81.8881,0.0,12,8,2.4321,2.3073,60.2609,0.6046
250385,LuIn3,In1,12,4,8,78.6316,0.0,30,20,2.3994,2.2763,57.8645,0.7359
250385,LuIn3,Lu1,12,0,12,78.6316,0.0,30,20,2.3994,2.2763,57.8645,0.7359
250390,Mo3Os,Mo1,14,10,4,63.9123,0.0,36,24,2.23,2.2396,46.454,0.7268
250390,Mo3Os,Os1,12,12,0,53.6863,0.0,30,20,2.1518,2.3242,41.7322,0.7773
250394,YCo3,Co1,12,5,7,51.21,0.0443,30,20,2.045,2.0228,35.8225,0.6995
250394,YCo3,Co2,12,3,9,47.8238,0.008,30,20,1.9756,2.1429,32.2987,0.6754
250394,YCo3,Co3,12,6,6,51.7156,0.0001,30,20,2.0437,2.1687,35.7576,0.6914
250394,YCo3,Y1,16,4,12,79.4434,0.0948,42,28,2.4755,2.5997,63.5478,0.7999
250394,YCo3,Y2,6,0,6,0.1882,0.0001,12,8,0.0063,1.4491,0.0,0.0
250399,V3Ga,Ga1,12,12,0,48.8847,0.0,30,20,2.0856,2.2527,37.9997,0.7773
250399,V3Ga,V1,14,10,4,58.196,0.0,36,24,2.1615,2.1708,42.2992,0.7268
250404,NdAl3,Al1,10,2,8,20.8857,0.0,12,8,1.3239,0.9341,9.7204,0.4654
250404,NdAl3,Nd1,12,0,12,20.887,0.0,30,20,1.3239,0.9342,9.7207,0.4654
250410,GdAl3,Al1,10,2,8,19.8556,0.0,12,8,1.302,0.9122,9.2449,0.293
250410,GdAl3,Gd1,12,0,12,19.8568,0.0,30,20,1.302,0.9122,9.2456,0.4656
