CIF_id,Compound,A,B,lowest_wyckoff_elements,A_lowest_wyckoff_label,B_lowest_wyckoff_label,identical_lowest_wyckoff_count,A_sites_total,B_sites_total,A_multiplicity_total,B_multiplicity_total
250527,LaPb3,La,Pb,La,1,3,1,1,1,1,3
250554,Y0.25Ce0.75,Y,Ce,"Y, Ce",2,2,2,2,2,4,4
250460,GdFe3,Gd,Fe,"Gd, Fe",3,3,2,2,3,9,27
250561,WIr3,W,Ir,W,2,6,1,1,1,2,6
250907,Ce0.25Tb0.75,Ce,Tb,"Ce, Tb",2,2,2,1,1,2,2
250894,YPd3,Y,Pd,Y,1,3,1,1,1,1,3
250718,GdAl3,Gd,Al,Gd,2,6,1,1,1,2,6
250962,Pt3Sn,Pt,Sn,Sn,3,1,1,1,1,3,1
250332,SmPd3,Sm,Pd,Sm,1,3,1,1,1,1,3
250649,ScPt3,Sc,Pt,Sc,1,3,1,1,1,1,3
250563,MoIr3,Mo,Ir,Mo,2,6,1,1,1,2,6
250375,PrIn3,Pr,In,Pr,1,3,1,1,1,1,3
250754,Au3Er,Er,Au,"Er, Au",2,2,2,1,2,2,6
250340,LuPd3,Lu,Pd,Lu,1,3,1,1,1,1,3
250892,CePd3,Ce,Pd,Ce,1,3,1,1,1,1,3
250806,Nd0.75Pt2.25,Nd,Pt,"Nd, Pt",8,8,2,1,2,8,24
250404,NdAl3,Nd,Al,Nd,2,6,1,1,1,2,6
250934,Pd3Sn,Pd,Sn,Sn,3,1,1,1,1,3,1
250652,Pd3Sn,Pd,Sn,Sn,3,1,1,1,1,3,1
250376,NdIn3,Nd,In,Nd,1,3,1,1,1,1,3
250651,GdPd3,Gd,Pd,Gd,1,3,1,1,1,1,3
250468,SmIn3,Sm,In,Sm,1,3,1,1,1,1,3
250334,GdPd3,Gd,Pd,Gd,1,3,1,1,1,1,3
250920,HoFe3,Ho,Fe,"Ho, Fe",3,3,2,2,3,9,27
250751,Au3Gd,Gd,Au,"Gd, Au",2,2,2,1,2,2,6
250411,Nd3Al,Nd,Al,Al,6,2,1,1,1,6,2
250465,YNi3,Y,Ni,"Y, Ni",3,3,2,2,3,9,27
250508,ErAl3,Er,Al,Er,1,3,1,1,1,1,3
250369,GdSn3,Gd,Sn,Gd,1,3,1,1,1,1,3
250959,Pd0.75In0.25,Pd,In,"Pd, In",2,2,2,1,1,2,2
250752,Au3Dy,Dy,Au,"Dy, Au",2,2,2,1,2,2,6
250502,YAl3,Y,Al,Y,3,9,1,2,2,9,27
250337,HoPd3,Ho,Pd,Ho,1,3,1,1,1,1,3
250336,DyPd3,Dy,Pd,Dy,1,3,1,1,1,1,3
250125,MoCo3,Mo,Co,Mo,2,6,1,1,1,2,6
250390,Mo3Os,Mo,Os,Os,6,2,1,1,1,6,2
250372,YIn3,Y,In,Y,1,3,1,1,1,1,3
250654,YbIn3,Yb,In,Yb,1,3,1,1,1,1,3
250646,TmPt3,Tm,Pt,Tm,1,3,1,1,1,1,3
