CIF_id,Compound,A,B,distAA,distBB,distAB,Asize,Bsize,Asize_by_Bsize,distAA_by2_byAsize,distBB_by2_byBsize,distAB_by2_byAsizebyBsize,Asize_ref,Bsize_ref,percent_diff_A_by_100,percent_diff_B_by_100,distAA_minus_ref_diff,distBB_minus_ref_diff,distAB_minus_ref_diff,refined_packing_eff,R_factor
250370,YbSn3,Yb,Sn,4.6814,3.3102,3.3102,1.8969,1.4899,1.2732,1.234,1.1109,0.9774,1.6551,1.6551,-0.1275,0.1109,0.2929,0.0,0.0,0.74047,0.0285
250717,TbAl3,Tb,Al,4.1866,2.8132,3.0142,1.6609,1.4319,1.1599,1.2603,0.9823,0.9746,1.6076,1.4066,-0.0321,-0.0177,0.232,0.0,0.0,0.67421,0.0013
250765,SmCo3,Sm,Co,3.1693,2.5017,2.906,1.7165,1.2492,1.3741,0.9232,1.0013,0.9799,1.6551,1.2509,-0.0357,0.0013,-0.0445,0.0,0.0,0.72233,0.0013
250462,GdNi3,Gd,Ni,3.135,2.4823,2.8762,1.7454,1.2515,1.3946,0.8981,0.9918,0.9597,1.635,1.2412,-0.0633,-0.0082,-0.043,0.0,0.0,0.72248,0.0041
250735,NbNi3,Nb,Ni,3.6458,2.4672,2.4672,1.4302,1.2515,1.1428,1.2746,0.9857,0.92,1.2336,1.2336,-0.1375,-0.0143,0.3233,0.0,0.0,0.64864,0.0191
250469,YbIn3,Yb,In,4.615,3.2633,3.2633,1.8969,1.6085,1.1793,1.2165,1.0144,0.9309,1.6316,1.6316,-0.1398,0.0144,0.2929,0.0,-0.0,0.74048,0.0198
250329,CePd3,Ce,Pd,4.1278,2.9188,2.9188,1.7238,1.3768,1.252,1.1973,1.06,0.9414,1.4594,1.4594,-0.1534,0.06,0.2929,0.0,0.0,0.74048,0.0271
250893,PrPd3,Pr,Pd,4.1413,2.9283,2.9283,1.6334,1.3768,1.1864,1.2677,1.0635,0.9728,1.4642,1.4642,-0.1036,0.0635,0.2929,0.0,0.0,0.74048,0.0148
250330,PrPd3,Pr,Pd,4.1383,2.9262,2.9262,1.6334,1.3768,1.1864,1.2668,1.0627,0.9721,1.4631,1.4631,-0.1043,0.0627,0.2929,0.0,0.0,0.74047,0.0148
250679,EuPb3,Eu,Pb,4.915,3.4754,3.4754,1.6846,1.7253,0.9764,1.4588,1.0072,1.0192,1.7377,1.7377,0.0315,0.0072,0.2929,0.0,0.0,0.74047,0.001
