CIF_id,Compound,Shortest homoatomic distance,Shortest heteroatomic distance,Shortest homoatomic distance by 2 by atom size,Shortest heteroatomic distance by sum of atom sizes,Shortest homoatomic distance by 2 by refined atom size,Shortest heteroatomic distance by sum of refined sizes,Highest refined percent difference by 100 (abs value),Lowest refined percent difference by 100 (abs value),Packing efficiency
250477,YbPb3,3.438,3.438,0.9963,0.9491,1.0,1.0,0.0938,0.0037,0.74048
250503,GdAl3,2.9325,2.9326,1.024,0.923,1.0,1.0,0.1599,0.024,0.66507
250733,Ta0.25Ni0.75,2.585,2.585,0.9146,0.9701,1.0,1.0,0.0854,0.0328,1.47825
250693,CePd3,2.9076,2.9076,1.0559,0.9378,1.0,1.0,0.1566,0.0559,0.74048
250186,Mo0.25Pt0.75,2.7521,2.7521,1.0105,1.0022,1.0,1.0,0.0105,0.006,1.46443
250236,Nb3Sn,2.645,2.9572,0.9247,1.0127,1.0,1.0,0.0972,0.0753,0.63991
250740,VIr3,2.6958,2.6958,0.9953,1.0112,1.0,1.0,0.0276,0.0047,0.74048
250366,NdSn3,3.3276,3.3276,1.1167,1.0574,1.0,1.0,0.1167,0.0041,0.74048
250374,CeIn3,3.3158,3.3158,1.0307,0.9951,1.0,1.0,0.0382,0.0307,0.74048
250383,TmIn3,3.2233,3.2233,1.0019,1.025,1.0,1.0,0.0492,0.002,0.74048
250335,TbPd3,2.8831,2.8831,1.047,0.9491,1.0,1.0,0.1321,0.047,0.74048
250647,YbPt3,2.851,2.851,1.0298,0.8689,1.0,1.0,0.2485,0.0298,0.74048
250225,MoNi3,2.522,2.522,1.0076,0.9651,1.0,1.0,0.0739,0.0076,0.70625
250331,NdPd3,2.9178,2.9178,1.0596,0.9617,1.0,1.0,0.1196,0.0596,0.74048
250382,ErIn3,3.2275,3.2275,1.0033,0.9924,1.0,1.0,0.0183,0.0033,0.74047
250506,CeAl3,2.98,2.98,1.0406,0.9443,1.0,1.0,0.1356,0.0406,0.64829
250650,CePd3,2.9189,2.9189,1.06,0.9414,1.0,1.0,0.1533,0.06,0.74048
250530,NbNi3,2.535,2.535,1.0128,0.9453,1.0,1.0,0.1138,0.0128,0.69624
250065,Mo3Os,2.4856,2.779,0.9127,1.0399,1.0,1.0,0.1721,0.0873,0.63991
250891,LaPd3,2.994,2.994,1.0873,0.937,1.0,1.0,0.1768,0.0873,0.74048
250339,YbPd3,2.8566,2.8566,1.0374,0.8726,1.0,1.0,0.247,0.0374,0.74047
250410,GdAl3,2.9325,2.9326,1.024,0.923,1.0,1.0,0.1599,0.024,0.66507
250463,YFe3,2.5165,2.9424,1.0129,1.0065,1.0,1.0,0.0129,0.0017,0.72220
250394,YCo3,2.4839,2.8875,0.9942,0.9853,1.0,1.0,0.0213,0.0058,0.72230
250385,LuIn3,3.2192,3.2192,1.0007,0.9686,1.0,1.0,0.0615,0.0007,0.74048
250328,LaPd3,2.9947,2.9947,1.0876,0.9372,1.0,1.0,0.1766,0.0876,0.74047
250653,YbPd3,2.8518,2.8518,1.0356,0.8711,1.0,1.0,0.2483,0.0356,0.74048
250810,TbPt3,2.8867,2.8867,1.0426,0.948,1.0,1.0,0.131,0.0426,0.74048
250527,LaPb3,3.4938,3.4938,1.0125,0.9859,1.0,1.0,0.0394,0.0125,0.74048
250554,Y0.25Ce0.75,3.6352,3.6352,1.0811,1.0676,1.0,1.0,0.0811,0.0544,1.45988
250460,GdFe3,2.5318,2.9621,1.0191,0.9915,1.0,1.0,0.0282,0.0191,0.72221
250561,WIr3,2.7083,2.7083,1.0,0.9942,1.0,1.0,0.0116,0.0,0.72461
250907,Ce0.25Tb0.75,3.5604,3.5604,1.0327,1.0519,1.0,1.0,0.0718,0.0327,1.43983
250894,YPd3,2.8781,2.8781,1.0452,0.9411,1.0,1.0,0.1441,0.0452,0.74048
250718,GdAl3,2.9376,2.9377,1.0258,0.9246,1.0,1.0,0.1584,0.0258,0.66507
