CIF_id,Compound,lowest_wyckoff_elements,Mendeleev_number_of_elements_with_lowest_wyckoff,valence_e_of_elements_with_lowest_wyckoff,CIF_rad_of_elements_with_lowest_wyckoff,CIF_rad_refined_of_elements_with_lowest_wyckoff,Pauling_rad_of_elements_with_lowest_wyckoff,Pauling_EN_of_elements_with_lowest_wyckoff,MB_EN_of_elements_with_lowest_wyckoff,highest_Mendeleev_number_sites,lowest_Mendeleev_number_sites,highest_Mendeleev_number_multiplicity,lowest_Mendeleev_number_multiplicity,highest_valence_e_sites,lowest_valence_e_sites,highest_valence_e_multiplicity,lowest_valence_e_multiplicity,highest_CIF_rad_sites,lowest_CIF_rad_sites,highest_CIF_rad_multiplicity,lowest_CIF_rad_multiplicity,highest_CIF_rad_refined_sites,lowest_CIF_rad_refined_sites,highest_CIF_rad_refined_multiplicity,lowest_CIF_rad_refined_multiplicity,highest_Pauling_rad_sites,lowest_Pauling_rad_sites,highest_Pauling_rad_multiplicity,lowest_Pauling_rad_multiplicity,highest_Pauling_EN_sites,lowest_Pauling_EN_sites,highest_Pauling_EN_multiplicity,lowest_Pauling_EN_multiplicity,highest_MB_EN_sites,lowest_MB_EN_sites,highest_MB_EN_multiplicity,lowest_MB_EN_multiplicity
250363,LaSn3,La,13,3,1.8186,1.6862,1.8186,1.1,1.35,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250963,Pt3In,In,75,13,1.6085,1.4114,1.6085,1.78,1.63,1,1,1,3,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250504,NdAl3,Nd,19,6,1.6571,1.4828,1.6571,1.14,1.2,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2,1,1,6,2
250737,TaNi3,"Ta, Ni","48, 61","19, 10","1.4132, 1.2515","1.2373, 1.2373","1.4132, 1.2515","1.5, 1.91","1.94, 1.76",2,1,6,2,1,2,2,6,1,2,2,6,1,2,2,6,1,2,2,6,2,1,6,2,1,2,2,6
250333,EuPd3,Eu,25,9,1.6846,1.4479,1.6846,1.2,1.15,1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250370,YbSn3,Yb,39,16,1.8969,1.6551,1.8969,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250717,TbAl3,Tb,29,11,1.6609,1.6076,1.6609,1.2,1.2,2,2,27,9,2,2,9,27,2,2,9,27,2,2,9,27,2,2,9,27,2,2,27,9,2,2,27,9
250765,SmCo3,"Sm, Co","23, 58","8, 9","1.7165, 1.2492","1.6551, 1.2509","1.7165, 1.2492","1.17, 1.88","1.2, 1.72",3,2,27,9,3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250462,GdNi3,"Gd, Ni","27, 61","10, 10","1.7454, 1.2515","1.635, 1.2412","1.7454, 1.2515","1.2, 1.91","1.1, 1.76",3,2,27,9,3,3,27,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250735,NbNi3,"Nb, Ni","47, 61","5, 10","1.4302, 1.2515","1.2336, 1.2336","1.4302, 1.2515","1.6, 1.91","2.03, 1.76",2,1,6,2,2,1,6,2,1,2,2,6,2,1,6,2,1,2,2,6,2,1,6,2,1,2,2,6
250469,YbIn3,Yb,39,16,1.8969,1.6316,1.8969,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250329,CePd3,Ce,15,4,1.7238,1.4594,1.7238,1.12,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250893,PrPd3,Pr,17,5,1.6334,1.4642,1.6334,1.13,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250330,PrPd3,Pr,17,5,1.6334,1.4631,1.6334,1.13,1.1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,1
250679,EuPb3,Eu,25,9,1.6846,1.7377,1.6846,1.2,1.15,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1
250753,Au3Ho,"Ho, Au","33, 66","13, 25","1.7086, 1.4425","1.4537, 1.4537","1.7086, 1.4425","1.23, 2.54","1.2, 1.19",2,1,6,2,2,1,6,2,1,2,2,6,1,2,2,6,1,2,2,6,2,1,6,2,1,2,2,6
