CIF_id,Compound,A,B,A_shortest_dist_count,B_shortest_dist_count,A_avg_shortest_dist_count,B_avg_shortest_dist_count,A_shortest_tol_dist_count,B_shortest_tol_dist_count,A_avg_shortest_dist_within_tol_count,B_avg_shortest_dist_within_tol_count,A_second_by_first_shortest_dist,B_second_by_first_shortest_dist,A_avg_second_by_first_shortest_dist,B_avg_second_by_first_shortest_dist,A_second_shortest_dist_count,B_second_shortest_dist_count,A_avg_second_shortest_dist_count,B_avg_second_shortest_dist_count,A_homoatomic_dist_by_shortest_dist,B_homoatomic_dist_by_shortest_dist,A_avg_homoatomic_dist_by_shortest_dist,B_avg_homoatomic_dist_by_shortest_dist,A_count_at_A_shortest_dist,A_count_at_B_shortest_dist,A_avg_count_at_A_shortest_dist,A_avg_count_at_B_shortest_dist,B_count_at_A_shortest_dist,B_count_at_B_shortest_dist,B_avg_count_at_A_shortest_dist,B_avg_count_at_B_shortest_dist
250363,LaSn3,La,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4154,1.4154,1.4154,1.4154,6,6,6.0,6.0,1.4152,1.0007,1.4152,1.0007,0,4,0.0,4.0,12,8,12.0,8.0
250963,Pt3In,Pt,In,12,12,12.0,12.0,12,12,12.0,12.0,1.4149,1.4149,1.4149,1.4149,6,6,6.0,6.0,1.001,1.4156,1.001,1.4156,8,12,8.0,12.0,4,0,4.0,0.0
250504,NdAl3,Nd,Al,12,10,12.0,10.0,12,10,12.0,10.0,1.0909,1.0909,1.0909,1.0909,12,10,12.0,10.0,1.4779,0.9985,1.4779,0.9985,0,2,0.0,2.0,12,8,12.0,8.0
250737,TaNi3,Ta,Ni,4,4,4.0,4.0,6,6,6.0,6.0,1.0364,1.0364,1.0364,1.0364,2,2,2.0,2.0,1.4817,1.0018,1.4817,1.0018,0,2,0.0,1.0,4,6,4.0,3.0
250333,EuPd3,Eu,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4138,1.4138,1.4138,1.4138,6,6,6.0,6.0,1.4121,0.9985,1.4121,0.9985,0,4,0.0,4.0,12,8,12.0,8.0
250370,YbSn3,Yb,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4139,1.4139,1.4139,1.4139,6,6,6.0,6.0,1.4143,1.0001,1.4143,1.0001,0,4,0.0,4.0,12,8,12.0,8.0
250717,TbAl3,Tb,Al,3,4,4.5,3.0,12,12,12.0,6.0,1.0033,1.0451,1.0132,1.035,3,2,4.5,2.0,1.3909,0.9987,1.4099,0.9999,0,0,0.0,0.0,3,6,4.5,3.0
250765,SmCo3,Sm,Co,6,6,6.0,3.3333,12,19,9.0,6.3333,1.024,1.1825,1.0685,1.0635,3,6,7.5,3.3333,1.0891,1.0018,1.1399,1.0011,0,0,0.0,0.0,6,10,6.0,3.3333
250462,GdNi3,Gd,Ni,6,3,6.0,2.3333,9,19,7.5,6.3333,1.0243,1.004,1.0694,1.004,3,6,7.5,4.0,1.0885,1.0019,1.1445,1.0013,0,0,0.0,0.0,6,7,6.0,2.3333
250735,NbNi3,Nb,Ni,4,4,4.0,4.0,6,6,6.0,6.0,1.0324,1.0324,1.0324,1.0324,2,2,2.0,2.0,1.476,0.9989,1.476,0.9989,0,2,0.0,1.0,4,6,4.0,3.0
